Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Payroll,Group C,Full Time,Married,61,New York City,00:00.0,Non Active,12,11,2 Years,2 Years,College,Low,Medium,Excellent,Very High,Better,Peck,Female,93211,Blue Collar,711
Public Relations,Group B,Full Time,Divorced,24,Seattle,00:00.0,Non Active,8,5,2 Years,2 Years,College,Low,Medium,Outstanding,High,Good,Love,Female,102842,Blue Collar,719
Media Relations,Group B,Part Time,Married,42,New York City,00:00.0,Active,8,16,2 Years,2 Years,Bachelor,Low,Medium,Low,Very High,Bad,Golden,Male,80733,Blue Collar,738
Research and Development,Group A,Part Time,Married,47,New York City,00:00.0,Non Active,6,9,2 Years,2 Years,Doctor,Medium,Very High,Good,High,Bad,Walter,Male,109723,Blue Collar,752
Human Resources,Group B,Full Time,Married,51,Los Angeles,00:00.0,Active,8,11,2 Years,2 Years,Bachelor,Very High,High,Outstanding,Medium,Bad,Blanchard,Male,73663,Blue Collar,790
Payroll,Group B,Full Time,Divorced,60,Los Angeles,00:00.0,Active,6,7,2 Years,2 Years,Bachelor,High,Low,Low,Low,Bad,Simon,Male,111057,Blue Collar,838
Customer Service,Group A,Full Time,Single,47,Seattle,00:00.0,Active,6,5,2 Years,2 Years,College,Medium,Medium,Good,Very High,Good,Juarez,Male,102530,Blue Collar,859
Media Relations,Group A,Part Time,Married,30,New York City,00:00.0,Active,7,20,2 Years,2 Years,Doctor,Very High,Medium,Outstanding,High,Bad,Holt,Male,84377,Blue Collar,884
Customer Relations,Group B,Full Time,Divorced,46,Houston,00:00.0,Active,5,7,2 Years,2 Years,Bachelor,High,Medium,Good,Medium,Bad,Cotton,Female,81641,Blue Collar,895
Legal Department,Group A,Part Time,Married,44,Los Angeles,00:00.0,Active,1,20,2 Years,2 Years,Masters,Low,High,Excellent,High,Better,Wilkerson,Female,116061,Blue Collar,939
Human Resources,Group A,Part Time,Married,55,Los Angeles,00:00.0,Non Active,4,19,2 Years,2 Years,Masters,Medium,Medium,Low,Low,Good,Newton,Female,73070,Blue Collar,942
Quality Assurance,Group B,Full Time,Divorced,40,Seattle,00:00.0,Non Active,3,17,2 Years,2 Years,College,High,Low,Good,Very High,Good,Gallegos,Female,86781,Blue Collar,947
Legal Department,Group B,Part Time,Married,41,New York City,00:00.0,Non Active,6,11,2 Years,2 Years,College,Medium,Medium,Outstanding,Very High,Bad,Manning,Female,81641,Blue Collar,956
Finances,Group A,Part Time,Single,36,Houston,00:00.0,Non Active,2,10,2 Years,2 Years,College,High,Low,Excellent,Medium,Good,Chase,Female,112851,Blue Collar,978
Finances,Group B,Full Time,Married,31,Seattle,00:00.0,Active,7,10,2 Years,2 Years,Masters,Medium,Low,Excellent,Very High,Better,Stone,Male,93309,Blue Collar,979
Tech Support,Group B,Full Time,Married,45,New York City,00:00.0,Active,10,15,2 Years,2 Years,Bachelor,Medium,Medium,Low,Very High,Bad,Gardner,Female,99709,Blue Collar,1063
Research and Development,Group A,Full Time,Divorced,59,New York City,00:00.0,Active,8,5,2 Years,2 Years,College,Very High,Very High,Outstanding,High,Good,Small,Male,91125,Blue Collar,1071
Payroll,Group B,Part Time,Married,27,Los Angeles,00:00.0,Non Active,10,12,2 Years,2 Years,Bachelor,Very High,Medium,Low,Medium,Best,Burgess,Male,85662,Blue Collar,1087
Asset Management,Group A,Full Time,Divorced,25,Houston,00:00.0,Active,3,16,2 Years,2 Years,Masters,High,Low,Low,Medium,Good,Nieves,Male,81583,Blue Collar,1114
Payroll,Group A,Part Time,Divorced,64,Los Angeles,00:00.0,Non Active,2,8,2 Years,2 Years,Doctor,Medium,High,Excellent,Very High,Bad,Blake,Male,79264,Blue Collar,1135
Human Resources,Group A,Full Time,Single,64,Seattle,00:00.0,Active,8,5,2 Years,2 Years,Doctor,Medium,Medium,Low,High,Good,Justice,Male,104665,Blue Collar,1138
Payroll,Group D,Part Time,Divorced,33,New York City,00:00.0,Non Active,9,6,2 Years,2 Years,Bachelor,Low,High,Low,Medium,Bad,Ballard,Female,82861,Blue Collar,1165
Accounting,Group A,Part Time,Divorced,32,New York City,00:00.0,Non Active,6,16,2 Years,2 Years,Bachelor,Medium,Low,Good,High,Bad,Drake,Female,118136,Blue Collar,1186
Tech Support,Group C,Full Time,Married,63,Los Angeles,00:00.0,Non Active,5,12,2 Years,2 Years,Bachelor,High,Medium,Low,High,Good,Weber,Female,112249,Blue Collar,1216
Payroll,Group B,Part Time,Divorced,45,Seattle,00:00.0,Non Active,1,16,2 Years,2 Years,Masters,Low,High,Low,Low,Best,Walton,Female,112697,Blue Collar,1221
Public Relations,Group C,Full Time,Single,33,Los Angeles,00:00.0,Active,6,11,2 Years,2 Years,College,Low,Very High,Excellent,Very High,Better,Wright,Female,104665,Blue Collar,1233
Sales and Marketing,Group B,Part Time,Single,62,Los Angeles,00:00.0,Active,9,9,2 Years,2 Years,Doctor,Low,Medium,Good,Medium,Good,Moore,Male,87009,Blue Collar,1237
Public Relations,Group A,Full Time,Divorced,36,New York City,00:00.0,Active,1,13,2 Years,2 Years,Masters,Low,Medium,Excellent,Low,Good,Briggs,Male,107169,Blue Collar,1239
Customer Service,Group D,Full Time,Single,44,Houston,00:00.0,Non Active,2,12,2 Years,2 Years,College,Very High,Very High,Excellent,Low,Good,Langley,Female,106260,Blue Collar,1247
Advertising,Group D,Part Time,Married,40,Seattle,00:00.0,Non Active,3,16,2 Years,2 Years,Bachelor,Medium,Low,Low,Medium,Better,Mccullough,Male,94247,Blue Collar,1262
Accounting,Group A,Part Time,Single,53,New York City,00:00.0,Active,8,9,2 Years,2 Years,College,High,Very High,Low,Very High,Better,Ortiz,Female,104621,Blue Collar,1310
Media Relations,Group B,Part Time,Married,53,New York City,00:00.0,Non Active,11,20,2 Years,2 Years,Masters,Very High,Low,Low,High,Better,Benjamin,Male,102282,Blue Collar,1334
Customer Relations,Group A,Part Time,Divorced,33,New York City,00:00.0,Non Active,10,13,2 Years,2 Years,Bachelor,Very High,Medium,Good,Low,Good,Woodward,Male,74811,Blue Collar,1373
Asset Management,Group A,Full Time,Single,49,Los Angeles,00:00.0,Active,6,10,2 Years,2 Years,Bachelor,High,High,Good,High,Best,Mendez,Male,114304,Blue Collar,1381
Advertising,Group A,Part Time,Divorced,62,Los Angeles,00:00.0,Non Active,9,7,2 Years,2 Years,Bachelor,Very High,Low,Good,Medium,Bad,Knox,Male,83255,Blue Collar,1482
Asset Management,Group A,Full Time,Married,62,Los Angeles,00:00.0,Non Active,4,7,2 Years,2 Years,Masters,Very High,Low,Good,Medium,Bad,Hickman,Male,75219,Blue Collar,1484
Legal Department,Group C,Part Time,Married,54,New York City,00:00.0,Non Active,8,11,2 Years,2 Years,Doctor,Medium,Low,Good,Low,Better,Mclean,Male,92113,Blue Collar,1499
Customer Relations,Group B,Part Time,Married,59,Los Angeles,00:00.0,Active,4,10,2 Years,2 Years,Masters,Low,Medium,Good,Low,Bad,Gordon,Female,102692,Blue Collar,1504
Research and Development,Group D,Full Time,Single,46,Los Angeles,00:00.0,Active,3,19,2 Years,2 Years,Masters,High,Low,Outstanding,High,Bad,Hardin,Female,105461,Blue Collar,1521
Tech Support,Group B,Full Time,Married,39,Los Angeles,00:00.0,Active,1,20,2 Years,2 Years,Bachelor,Medium,Low,Excellent,Low,Best,Macdonald,Female,87211,Blue Collar,1552
Quality Assurance,Group A,Part Time,Married,31,Los Angeles,00:00.0,Active,3,7,2 Years,2 Years,Doctor,Medium,Medium,Good,High,Bad,Weaver,Male,111599,Blue Collar,1556
Quality Assurance,Group D,Part Time,Single,41,Los Angeles,00:00.0,Active,4,11,2 Years,2 Years,College,Medium,Medium,Outstanding,Medium,Best,Lyons,Female,81893,Blue Collar,1579
Accounting,Group A,Full Time,Divorced,64,New York City,00:00.0,Non Active,12,8,2 Years,2 Years,Doctor,High,Very High,Outstanding,Very High,Best,Mclaughlin,Female,101483,Blue Collar,1627
Public Relations,Group C,Full Time,Single,31,Seattle,00:00.0,Active,2,15,2 Years,2 Years,Masters,Medium,Very High,Good,High,Best,Burch,Female,102169,Blue Collar,1672
Public Relations,Group B,Full Time,Single,64,Seattle,00:00.0,Active,1,14,2 Years,2 Years,Doctor,Low,Very High,Excellent,Medium,Better,Barr,Female,104013,Blue Collar,1684
Legal Department,Group B,Part Time,Divorced,64,Seattle,00:00.0,Active,4,6,2 Years,2 Years,College,Medium,Low,Excellent,Medium,Good,Bolton,Female,119444,Blue Collar,1738
Customer Relations,Group D,Full Time,Divorced,41,Seattle,00:00.0,Non Active,3,16,2 Years,2 Years,Bachelor,Medium,High,Good,Very High,Good,Brennan,Female,96761,Blue Collar,1742
Media Relations,Group A,Part Time,Single,39,Seattle,00:00.0,Active,6,9,2 Years,2 Years,Bachelor,Low,High,Good,Low,Bad,Hunt,Female,72940,Blue Collar,1744
Accounting,Group A,Full Time,Married,60,New York City,00:00.0,Non Active,5,8,2 Years,2 Years,Bachelor,Medium,Medium,Outstanding,High,Best,Charles,Male,103648,Blue Collar,1752
Quality Assurance,Group A,Full Time,Divorced,57,New York City,00:00.0,Active,3,17,2 Years,2 Years,College,High,Low,Outstanding,Medium,Bad,Wiley,Male,85499,Blue Collar,1823
Tech Support,Group A,Part Time,Married,62,Seattle,00:00.0,Non Active,5,12,2 Years,2 Years,Masters,High,High,Good,Medium,Bad,Raymond,Male,79854,Blue Collar,1829
Accounting,Group B,Part Time,Single,61,New York City,00:00.0,Non Active,12,14,2 Years,2 Years,Bachelor,High,Very High,Good,Low,Good,Marshall,Male,110288,Blue Collar,1848
Legal Department,Group C,Part Time,Single,61,Seattle,00:00.0,Active,8,16,2 Years,2 Years,College,Low,Medium,Low,Medium,Best,Graham,Female,102706,Blue Collar,1887
Advertising,Group B,Full Time,Divorced,63,Seattle,00:00.0,Active,3,5,2 Years,2 Years,Doctor,Low,Medium,Good,Medium,Good,Juarez,Female,91884,Blue Collar,1978
Finances,Group B,Part Time,Divorced,51,Houston,00:00.0,Active,8,17,2 Years,2 Years,Bachelor,Medium,Very High,Excellent,High,Bad,Mason,Female,112182,Blue Collar,1983
Quality Assurance,Group B,Full Time,Divorced,60,Houston,00:00.0,Non Active,1,9,2 Years,2 Years,Doctor,High,Medium,Good,Very High,Bad,Carrillo,Female,115315,Blue Collar,2025
Tech Support,Group A,Full Time,Married,55,New York City,00:00.0,Active,10,7,2 Years,2 Years,College,Medium,Very High,Outstanding,Medium,Bad,Howe,Male,112622,Blue Collar,2036
Human Resources,Group A,Part Time,Single,24,Houston,00:00.0,Active,12,9,2 Years,2 Years,Masters,High,Medium,Excellent,High,Good,Wilcox,Female,88789,Blue Collar,2071
Sales and Marketing,Group D,Part Time,Divorced,58,New York City,00:00.0,Active,12,15,2 Years,2 Years,Bachelor,Medium,Low,Low,Low,Bad,Stephens,Female,89145,Blue Collar,2167
Sales and Marketing,Group D,Full Time,Divorced,57,Seattle,00:00.0,Non Active,5,6,2 Years,2 Years,Masters,Low,Very High,Outstanding,Medium,Bad,Chapman,Male,82245,Blue Collar,2191
Finances,Group A,Full Time,Divorced,52,Seattle,00:00.0,Non Active,7,18,2 Years,2 Years,Bachelor,High,Medium,Low,Medium,Good,Dodson,Female,114533,Blue Collar,2210
Public Relations,Group C,Part Time,Married,40,Los Angeles,00:00.0,Active,1,18,2 Years,2 Years,Doctor,High,Very High,Low,Low,Best,Reeves,Female,102675,Blue Collar,2254
Human Resources,Group B,Part Time,Divorced,54,Houston,00:00.0,Non Active,11,7,2 Years,2 Years,Masters,High,High,Good,Medium,Better,Cox,Female,89277,Blue Collar,2279
Media Relations,Group C,Part Time,Single,65,Los Angeles,00:00.0,Active,3,9,2 Years,2 Years,Doctor,Low,Medium,Good,Medium,Best,Sheppard,Female,112080,Blue Collar,2362
Legal Department,Group D,Part Time,Married,63,Los Angeles,00:00.0,Active,3,8,2 Years,2 Years,Masters,Medium,Medium,Good,Low,Good,Roth,Female,109656,Blue Collar,2386
Finances,Group C,Part Time,Divorced,46,Seattle,00:00.0,Non Active,12,20,2 Years,2 Years,College,High,Low,Low,Low,Bad,Koch,Female,75334,Blue Collar,2402
Quality Assurance,Group C,Part Time,Single,65,Los Angeles,00:00.0,Non Active,1,17,2 Years,2 Years,Masters,Low,Medium,Outstanding,Low,Best,Kidd,Male,118565,Blue Collar,2430
Media Relations,Group C,Part Time,Married,33,New York City,00:00.0,Non Active,11,15,2 Years,2 Years,College,Low,High,Good,Medium,Bad,Austin,Female,81848,Blue Collar,2438
Research and Development,Group D,Full Time,Married,44,New York City,00:00.0,Non Active,5,15,2 Years,2 Years,Doctor,High,Low,Low,Low,Good,Whitfield,Female,109051,Blue Collar,2449
Quality Assurance,Group A,Full Time,Single,32,Los Angeles,00:00.0,Non Active,5,11,2 Years,2 Years,Bachelor,Low,Medium,Good,Very High,Better,Ratliff,Female,80550,Blue Collar,2518
Advertising,Group B,Full Time,Married,51,Los Angeles,00:00.0,Non Active,3,6,2 Years,2 Years,College,Very High,Very High,Good,Medium,Bad,Yates,Female,97480,Blue Collar,2582
Customer Service,Group B,Part Time,Single,40,Los Angeles,00:00.0,Active,6,7,2 Years,2 Years,Bachelor,Medium,Medium,Excellent,High,Good,Hyde,Male,114043,Blue Collar,2598
Tech Support,Group B,Part Time,Single,39,New York City,00:00.0,Non Active,8,15,2 Years,2 Years,Masters,High,Medium,Good,Very High,Better,Arnold,Female,112533,Blue Collar,2602
Legal Department,Group D,Part Time,Divorced,63,Los Angeles,00:00.0,Active,10,8,2 Years,2 Years,Bachelor,Medium,Low,Excellent,Medium,Good,Robinson,Male,106691,Blue Collar,2614
Accounting,Group D,Full Time,Married,46,New York City,00:00.0,Active,11,12,2 Years,2 Years,College,High,Low,Excellent,Low,Best,Goff,Female,94558,Blue Collar,2620
Media Relations,Group A,Full Time,Single,54,New York City,00:00.0,Non Active,9,10,2 Years,2 Years,College,Very High,Very High,Outstanding,Low,Better,Greer,Male,81481,Blue Collar,2623
Human Resources,Group D,Full Time,Divorced,54,Houston,00:00.0,Active,8,19,2 Years,2 Years,Bachelor,Very High,High,Low,Medium,Bad,Rojas,Female,97358,Blue Collar,2639
Human Resources,Group A,Full Time,Divorced,56,New York City,00:00.0,Active,4,16,2 Years,2 Years,Masters,Low,Medium,Excellent,Low,Best,Rojas,Male,71122,Blue Collar,2644
Public Relations,Group A,Part Time,Married,38,New York City,00:00.0,Active,1,14,2 Years,2 Years,Doctor,Medium,Medium,Outstanding,Low,Good,Phelps,Male,113812,Blue Collar,2680
Advertising,Group C,Full Time,Single,26,New York City,00:00.0,Non Active,8,19,2 Years,2 Years,Masters,High,Medium,Good,High,Good,Ayers,Female,107508,Blue Collar,2686
Accounting,Group A,Full Time,Single,36,Houston,00:00.0,Active,5,9,2 Years,2 Years,College,Medium,Medium,Good,High,Good,Lowery,Female,86621,Blue Collar,2751
Finances,Group A,Full Time,Divorced,28,Seattle,00:00.0,Active,5,6,2 Years,2 Years,Bachelor,Low,High,Outstanding,Very High,Best,Brock,Male,78191,Blue Collar,2752
Finances,Group B,Full Time,Divorced,64,Los Angeles,00:00.0,Non Active,2,12,2 Years,2 Years,Doctor,High,Low,Low,High,Bad,Mcguire,Female,104719,Blue Collar,2785
Finances,Group D,Part Time,Single,35,Los Angeles,00:00.0,Active,1,12,2 Years,2 Years,Masters,High,High,Excellent,Very High,Better,Matthews,Male,83226,Blue Collar,2800
Customer Relations,Group C,Part Time,Divorced,44,Houston,00:00.0,Non Active,8,17,2 Years,2 Years,College,Very High,Very High,Excellent,High,Good,Wright,Male,115325,Blue Collar,2802
Sales and Marketing,Group D,Part Time,Divorced,60,Seattle,00:00.0,Non Active,10,12,2 Years,2 Years,Masters,High,Low,Low,Medium,Good,Washington,Male,118255,Blue Collar,2808
Customer Service,Group D,Part Time,Married,64,Houston,00:00.0,Active,1,20,2 Years,2 Years,College,Medium,Low,Excellent,High,Better,Garcia,Female,96981,Blue Collar,2816
Quality Assurance,Group A,Part Time,Married,39,Houston,00:00.0,Non Active,9,14,2 Years,2 Years,Doctor,High,Very High,Excellent,Very High,Good,Contreras,Female,104441,Blue Collar,2819
Tech Support,Group D,Full Time,Single,26,Los Angeles,00:00.0,Active,5,15,2 Years,2 Years,Doctor,Medium,High,Excellent,Low,Good,Berg,Female,74631,Blue Collar,2832
Payroll,Group B,Full Time,Divorced,53,Houston,00:00.0,Active,3,14,2 Years,2 Years,Masters,High,High,Good,Low,Best,Snyder,Female,108186,Blue Collar,2902
Advertising,Group D,Full Time,Divorced,53,Seattle,00:00.0,Non Active,4,8,2 Years,2 Years,Doctor,Very High,Low,Outstanding,High,Better,Stone,Male,89343,Blue Collar,2917
Research and Development,Group A,Part Time,Married,30,Los Angeles,00:00.0,Non Active,2,20,2 Years,2 Years,Bachelor,Very High,Very High,Outstanding,Medium,Bad,Rojas,Female,97996,Blue Collar,2987
Public Relations,Group C,Part Time,Single,51,Houston,00:00.0,Non Active,6,14,2 Years,2 Years,College,Medium,Medium,Outstanding,Very High,Bad,Benton,Male,93594,Blue Collar,3025
Advertising,Group D,Full Time,Divorced,53,Seattle,00:00.0,Non Active,4,20,2 Years,2 Years,College,Very High,High,Excellent,Low,Good,Sweet,Female,118560,Blue Collar,3076
Tech Support,Group D,Full Time,Single,62,New York City,00:00.0,Non Active,6,10,2 Years,2 Years,College,Low,High,Outstanding,High,Good,Eaton,Male,95738,Blue Collar,3086
Accounting,Group D,Part Time,Divorced,52,Houston,00:00.0,Non Active,7,15,2 Years,2 Years,College,Medium,Very High,Low,Low,Good,Caldwell,Female,111953,Blue Collar,3120
Sales and Marketing,Group A,Full Time,Single,32,Seattle,00:00.0,Active,12,11,2 Years,2 Years,Masters,High,Very High,Low,Medium,Better,Woodward,Female,84117,Blue Collar,3134
Asset Management,Group C,Part Time,Married,50,New York City,00:00.0,Active,12,11,2 Years,2 Years,Bachelor,Low,Very High,Excellent,High,Best,Boyd,Male,110252,Blue Collar,3140
Sales and Marketing,Group A,Part Time,Single,32,Seattle,00:00.0,Active,7,7,2 Years,2 Years,Bachelor,Very High,Medium,Good,Low,Best,Robbins,Female,118041,Blue Collar,3164
Human Resources,Group C,Full Time,Divorced,25,Los Angeles,00:00.0,Active,6,10,2 Years,2 Years,Masters,Very High,Very High,Outstanding,Very High,Bad,Chaney,Female,115788,Blue Collar,3183
Research and Development,Group D,Full Time,Single,39,New York City,00:00.0,Active,6,18,2 Years,2 Years,College,High,Medium,Good,Medium,Best,Hensley,Male,109125,Blue Collar,3204
Human Resources,Group C,Full Time,Married,61,Seattle,00:00.0,Non Active,7,9,2 Years,2 Years,Masters,Medium,Low,Low,High,Best,Talley,Male,117040,Blue Collar,3237
Quality Assurance,Group C,Full Time,Divorced,44,New York City,00:00.0,Non Active,5,20,2 Years,2 Years,Masters,Low,Low,Outstanding,High,Good,Paul,Female,74473,Blue Collar,3298
Asset Management,Group B,Full Time,Married,64,Houston,00:00.0,Non Active,4,20,2 Years,2 Years,Bachelor,High,High,Outstanding,Low,Good,Aguirre,Female,78222,Blue Collar,3302
Quality Assurance,Group B,Part Time,Single,65,Los Angeles,00:00.0,Non Active,2,11,2 Years,2 Years,Bachelor,Very High,Low,Low,Very High,Best,Hanson,Female,111826,Blue Collar,3318
Research and Development,Group C,Full Time,Married,39,Houston,00:00.0,Active,11,11,2 Years,2 Years,Doctor,Medium,Very High,Low,Medium,Good,George,Female,107634,Blue Collar,3319
Public Relations,Group A,Full Time,Divorced,26,Los Angeles,00:00.0,Active,3,14,2 Years,2 Years,Doctor,High,High,Low,Low,Good,Wynn,Female,110093,Blue Collar,3330
Finances,Group D,Full Time,Divorced,27,New York City,00:00.0,Non Active,1,8,2 Years,2 Years,College,High,High,Good,Medium,Good,Garner,Male,109083,Blue Collar,3332
Media Relations,Group A,Full Time,Divorced,49,Seattle,00:00.0,Active,6,5,2 Years,2 Years,Bachelor,High,Low,Low,Low,Better,Cain,Male,74492,Blue Collar,3393
Advertising,Group A,Part Time,Divorced,30,New York City,00:00.0,Active,2,8,2 Years,2 Years,Bachelor,Medium,Low,Excellent,Medium,Best,Mosley,Female,92077,Blue Collar,3444
Customer Relations,Group D,Full Time,Single,53,Seattle,00:00.0,Active,3,14,2 Years,2 Years,Masters,Very High,High,Outstanding,Very High,Better,Clarke,Female,102152,Blue Collar,3455
Research and Development,Group D,Full Time,Married,41,Houston,00:00.0,Non Active,11,9,2 Years,2 Years,Bachelor,Very High,Medium,Outstanding,High,Good,Garner,Female,81606,Blue Collar,3506
Customer Relations,Group A,Full Time,Divorced,60,Los Angeles,00:00.0,Non Active,4,10,1 Year,2 Years,Bachelor,Medium,Low,Low,High,Good,Henry,Female,80538,Other,47
Advertising,Group A,Full Time,Divorced,46,Seattle,00:00.0,Active,9,10,3 Years,2 Years,Masters,Medium,Very High,Excellent,Medium,Best,Velasquez,Female,76656,Other,61
Advertising,Group C,Part Time,Divorced,57,Houston,00:00.0,Non Active,11,16,2 Years,2 Years,Doctor,Low,High,Outstanding,High,Better,Bartlett,Male,78545,Other,94
Accounting,Group B,Part Time,Divorced,25,Houston,00:00.0,Active,1,15,1 Year,2 Years,Bachelor,Very High,Low,Outstanding,High,Bad,Mcintosh,Female,92103,Other,108
Human Resources,Group A,Full Time,Divorced,63,Seattle,00:00.0,Non Active,1,11,1 Year,2 Years,Masters,Very High,Medium,Good,Medium,Best,Glover,Male,103331,Other,133
Human Resources,Group B,Full Time,Divorced,28,Houston,00:00.0,Non Active,11,20,2 Years,2 Years,Bachelor,Very High,Low,Low,Low,Bad,Haley,Female,81212,Other,137
Customer Relations,Group B,Part Time,Divorced,51,Seattle,00:00.0,Active,11,10,2 Years,2 Years,Doctor,Medium,High,Outstanding,Very High,Best,Fry,Male,116883,Other,180
Media Relations,Group D,Part Time,Divorced,38,Houston,00:00.0,Active,3,7,1 Year,2 Years,Doctor,Low,Very High,Low,Very High,Good,Boone,Male,112958,Other,227
Advertising,Group C,Part Time,Divorced,65,Seattle,00:00.0,Non Active,11,5,3 Years,2 Years,College,Low,Low,Outstanding,Very High,Good,Patterson,Female,105371,Other,247
Customer Relations,Group B,Full Time,Divorced,29,Seattle,00:00.0,Active,6,5,1 Year,2 Years,Doctor,Very High,Low,Low,High,Good,Gates,Female,107353,Other,248
Customer Service,Group C,Full Time,Divorced,37,Los Angeles,00:00.0,Active,6,16,1 Year,2 Years,Doctor,Medium,Very High,Excellent,Medium,Best,Winters,Female,73673,Other,256
Customer Relations,Group B,Part Time,Divorced,54,New York City,00:00.0,Active,2,10,2 Years,2 Years,Bachelor,Low,Low,Low,Low,Best,Boyd,Male,73935,Other,283
Customer Relations,Group C,Part Time,Divorced,25,Seattle,00:00.0,Non Active,7,7,1 Year,2 Years,Bachelor,Low,High,Low,High,Good,Walter,Male,92323,Other,310
Asset Management,Group D,Part Time,Divorced,24,Los Angeles,00:00.0,Non Active,6,10,3 Years,2 Years,College,Medium,High,Good,Medium,Bad,Sosa,Male,98234,Other,342
Advertising,Group B,Full Time,Divorced,44,Houston,00:00.0,Active,3,10,3 Years,2 Years,Bachelor,Low,Very High,Good,High,Best,Sweet,Male,88330,Other,367
Payroll,Group A,Part Time,Divorced,56,Seattle,00:00.0,Non Active,12,18,3 Years,2 Years,College,Medium,Very High,Excellent,Low,Bad,Lester,Female,75371,Other,375
Tech Support,Group C,Full Time,Divorced,26,Houston,00:00.0,Non Active,9,5,1 Year,2 Years,Doctor,Low,Medium,Low,Medium,Best,Noble,Male,84886,Other,471
Advertising,Group C,Full Time,Divorced,41,Houston,00:00.0,Active,4,6,1 Year,2 Years,College,Low,High,Good,High,Good,Decker,Male,88411,Other,480
Customer Relations,Group A,Part Time,Divorced,43,New York City,00:00.0,Non Active,11,17,3 Years,2 Years,Doctor,Medium,Very High,Outstanding,Low,Better,Molina,Female,79451,Other,519
Research and Development,Group A,Part Time,Divorced,59,Los Angeles,00:00.0,Active,2,13,2 Years,2 Years,Doctor,Very High,High,Good,Low,Good,Bowers,Male,71071,Other,610
Customer Relations,Group B,Part Time,Divorced,64,Seattle,00:00.0,Active,5,18,3 Years,2 Years,Masters,Very High,Medium,Excellent,Very High,Best,Alston,Male,89259,Other,744
Legal Department,Group B,Part Time,Divorced,42,Houston,00:00.0,Non Active,4,18,2 Years,2 Years,College,Low,Low,Outstanding,Very High,Bad,Larsen,Male,101729,Other,821
Research and Development,Group D,Full Time,Divorced,26,New York City,00:00.0,Non Active,12,17,2 Years,2 Years,Masters,Very High,High,Excellent,Medium,Bad,Coleman,Female,93671,Other,924
Accounting,Group D,Full Time,Divorced,37,Los Angeles,00:00.0,Non Active,6,7,1 Year,2 Years,Masters,Very High,Low,Good,High,Good,Lawrence,Male,106949,Other,969
Tech Support,Group A,Full Time,Divorced,27,Houston,00:00.0,Non Active,10,6,1 Year,2 Years,College,Medium,Medium,Good,Very High,Best,Hester,Female,106529,Other,973
Human Resources,Group B,Part Time,Divorced,62,New York City,00:00.0,Non Active,4,10,1 Year,2 Years,Bachelor,Low,Low,Low,Low,Good,Riley,Female,87931,Other,1046
Payroll,Group C,Full Time,Divorced,24,Seattle,00:00.0,Non Active,1,10,2 Years,2 Years,Bachelor,Very High,High,Good,Medium,Best,Rose,Female,115242,Other,1189
Research and Development,Group B,Part Time,Divorced,33,New York City,00:00.0,Non Active,5,13,3 Years,2 Years,Bachelor,High,Medium,Excellent,Low,Best,Cole,Female,87893,Other,1213
Legal Department,Group C,Full Time,Divorced,61,Seattle,00:00.0,Active,7,13,2 Years,2 Years,Bachelor,Very High,Very High,Low,High,Good,Aguilar,Male,72095,Other,1263
Quality Assurance,Group C,Full Time,Divorced,59,Los Angeles,00:00.0,Active,12,12,1 Year,2 Years,College,Medium,High,Outstanding,Medium,Better,Talley,Female,75544,Other,1385
Accounting,Group B,Part Time,Divorced,41,Seattle,00:00.0,Active,1,17,2 Years,2 Years,Masters,High,Low,Outstanding,Medium,Better,Cross,Female,113931,Other,1449
Asset Management,Group D,Part Time,Divorced,31,New York City,00:00.0,Non Active,3,10,2 Years,2 Years,Bachelor,Very High,Low,Good,Low,Good,Henry,Female,74127,Other,1469
Finances,Group C,Full Time,Divorced,65,Los Angeles,00:00.0,Active,12,5,2 Years,2 Years,Doctor,High,Medium,Outstanding,Very High,Good,Collier,Female,87020,Other,1479
Advertising,Group A,Part Time,Divorced,41,Houston,00:00.0,Active,2,20,1 Year,2 Years,Doctor,High,Medium,Good,Very High,Bad,Kent,Male,70955,Other,1490
Tech Support,Group A,Full Time,Divorced,29,Seattle,00:00.0,Non Active,5,10,1 Year,2 Years,College,High,Low,Outstanding,Medium,Bad,Parker,Male,95811,Other,1500
Research and Development,Group A,Full Time,Divorced,33,New York City,00:00.0,Non Active,4,12,1 Year,2 Years,Doctor,Very High,Medium,Excellent,Medium,Best,Hamilton,Female,119919,Other,1511
Media Relations,Group C,Part Time,Divorced,27,Houston,00:00.0,Non Active,10,6,1 Year,2 Years,Doctor,Low,Medium,Excellent,Very High,Bad,Barber,Female,106749,Other,1515
Research and Development,Group B,Full Time,Divorced,44,Seattle,00:00.0,Non Active,12,8,3 Years,2 Years,Bachelor,High,High,Good,Medium,Bad,Conway,Male,115015,Other,1547
Finances,Group D,Full Time,Divorced,24,Los Angeles,00:00.0,Active,2,5,2 Years,2 Years,College,Very High,Low,Excellent,Low,Bad,Booker,Male,94749,Other,1574
Human Resources,Group A,Part Time,Divorced,26,New York City,00:00.0,Non Active,2,17,2 Years,2 Years,College,Low,Low,Excellent,Low,Better,Frye,Male,87418,Other,1586
